date,store_id,region,product_category,day_of_week,month,holiday_flag,promo_flag,discount_pct,ad_spend,web_traffic,competitor_price_index,inventory_level,avg_temp_c,unit_price,units_sold,revenue,profit
2023-03-07,13,South,Snacks,1,3,0,0,0.058,550.12,4109,1.012,1379,23.7,16.02,105,1583.16,657.6
2024-07-18,17,North,Beverages,3,7,0,0,0.149,409.49,3845,1.07,1030,15.1,15.11,97,1244.3,337.68
2024-04-22,13,North,Dairy,0,4,0,0,0.084,702.64,4640,0.927,1245,21.2,12.3,125,1405.05,441.61
2023-11-17,12,South,Snacks,4,11,0,1,0.101,770.19,5744,1.087,1159,9.6,12.51,117,1311.9,407.51
2023-11-13,10,East,Personal Care,0,11,1,1,0.183,969.75,7313,0.965,1309,22.3,12.55,97,995.64,317.87
2024-09-18,5,West,Beverages,2,9,0,1,0.279,353.75,3200,0.88,1068,10.7,14.26,48,495.71,153.43
2023-03-04,6,South,Beverages,5,3,0,0,0.148,436.31,3501,0.945,1530,18.1,12.75,117,1269.99,510.36
2024-05-24,15,West,Snacks,4,5,0,0,0.241,515.69,4647,0.877,1297,30.4,13.86,99,1044.62,335.48
2023-05-28,2,South,Beverages,6,5,0,0,0.131,485.78,4390,1.02,1199,22.1,16.97,135,1998.66,838.04
2023-03-10,2,West,Snacks,4,3,0,0,0.267,603.79,4725,0.901,1047,26.6,14.76,88,950.03,329.77
2024-01-20,8,South,Cleaning,5,1,0,0,0.131,391.46,6153,0.996,1371,14.4,12.31,69,733.3,270.91
2024-12-13,16,West,Snacks,4,12,0,0,0.121,457.81,4426,1.046,1750,21.7,12.78,49,549.77,261.83
2024-06-21,14,South,Dairy,4,6,1,1,0.123,1009.0,7245,0.956,1355,18.5,12.71,207,2310.01,837.14
2024-07-09,12,East,Personal Care,1,7,1,0,0.187,205.41,2840,0.96,1244,26.4,11.78,72,690.36,276.93
2024-06-07,11,South,Dairy,4,6,0,1,0.17,794.3,4689,0.912,876,15.7,12.65,119,1246.84,423.37
2024-07-27,3,North,Cleaning,5,7,0,0,0.081,396.58,3407,0.98,953,16.2,12.11,77,855.01,293.1
2024-01-10,7,North,Snacks,2,1,0,1,0.277,554.03,5503,1.079,1274,26.4,14.74,74,791.25,186.41
2023-04-04,2,South,Beverages,1,4,0,0,0.189,503.85,4378,1.012,1198,27.0,13.15,94,998.65,323.96
2024-09-05,16,South,Snacks,3,9,0,0,0.188,646.39,4802,0.96,1100,24.7,14.41,125,1457.27,477.71
2023-11-25,16,West,Personal Care,5,11,0,0,0.098,616.26,4156,0.965,1137,9.5,15.56,91,1281.08,405.76
2024-01-01,6,West,Dairy,0,1,0,1,0.197,678.38,4899,0.969,1454,19.5,17.74,83,1178.15,342.07
2023-09-28,6,South,Snacks,3,9,0,0,0.116,590.12,4108,0.997,1782,22.5,15.28,71,957.59,294.92
2023-05-14,7,West,Snacks,6,5,1,0,0.167,708.89,5279,0.957,1401,15.8,13.96,109,1268.49,407.45
2024-11-07,18,West,Cleaning,3,11,0,0,0.213,436.02,4565,0.993,1542,1.2,13.03,56,569.49,161.27
2024-07-24,10,South,Cleaning,2,7,1,1,0.222,709.11,4422,0.917,1031,13.2,13.89,128,1386.42,638.33
2024-04-15,16,South,Dairy,0,4,0,0,0.238,348.36,4231,0.912,945,30.9,12.19,80,745.89,177.66
2023-10-21,9,North,Personal Care,5,10,0,0,0.174,584.06,3667,0.995,1035,0.3,15.57,47,609.5,136.44
2024-08-23,14,South,Cleaning,4,8,0,0,0.106,443.26,4252,0.935,1572,17.6,11.24,79,793.54,257.47
2024-02-03,11,East,Cleaning,5,2,0,1,0.25,532.61,4625,0.994,1310,25.2,11.25,87,733.2,287.81
2023-11-20,6,East,Beverages,0,11,0,0,0.222,180.42,4450,0.964,1008,23.2,14.0,56,609.57,180.31
2023-11-25,18,West,Beverages,5,11,1,0,0.24,703.09,4233,0.869,1551,17.3,14.95,105,1187.97,436.4
2023-06-15,15,South,Personal Care,3,6,0,1,0.271,612.52,5198,0.958,1686,24.2,11.94,114,993.95,302.17
2023-03-09,16,West,Dairy,3,3,0,0,0.122,502.86,4555,0.905,1009,33.1,14.6,95,1220.5,501.85
2024-02-09,19,West,Snacks,4,2,0,0,0.107,648.35,3658,1.028,1292,25.2,14.94,84,1116.13,248.01
2024-10-10,5,South,Dairy,3,10,0,0,0.155,240.57,3156,0.969,1169,7.2,15.31,57,740.44,315.52
2023-02-16,2,East,Beverages,3,2,0,0,0.22,442.78,3588,1.057,1233,15.1,15.03,60,703.11,229.33
2024-09-18,12,North,Cleaning,2,9,0,0,0.146,422.69,3306,1.037,1555,7.7,11.55,57,557.84,237.36
2024-08-27,7,North,Beverages,1,8,0,0,0.147,510.76,3637,0.93,1299,13.8,15.47,95,1247.56,435.78
2023-07-22,9,North,Cleaning,5,7,0,1,0.203,898.27,6896,0.868,1344,19.1,13.48,92,990.6,325.63
2024-04-06,5,North,Dairy,5,4,0,1,0.18,487.29,4123,0.937,1078,13.2,16.4,135,1818.99,548.81
2023-05-01,8,East,Snacks,0,5,0,0,0.11,541.17,4633,0.931,1559,23.6,14.8,121,1588.12,593.97
2024-07-07,8,South,Beverages,6,7,0,0,0.128,615.04,4628,1.079,1419,18.2,15.81,82,1132.84,316.78
2024-05-26,8,South,Cleaning,6,5,0,0,0.223,420.18,2503,0.964,1348,28.2,13.22,30,306.19,98.42
2023-09-16,15,South,Beverages,5,9,0,1,0.186,678.01,5701,1.02,1246,20.8,18.25,106,1577.94,567.62
2023-02-19,12,South,Beverages,6,2,0,0,0.123,516.95,2779,0.975,805,23.1,16.21,129,1833.54,679.4
2024-12-09,10,South,Cleaning,0,12,0,0,0.068,505.17,4581,0.994,704,8.5,11.88,99,1093.35,347.97
2023-11-22,3,North,Snacks,2,11,0,0,0.163,543.18,3673,0.978,1229,0.2,12.92,109,1175.59,381.62
2024-10-13,12,West,Snacks,6,10,0,0,0.202,539.8,4127,1.025,1134,14.1,13.83,80,884.78,261.08
2024-05-09,4,North,Snacks,3,5,0,0,0.217,292.88,2214,0.981,877,19.7,13.74,64,691.67,230.18
2024-07-22,7,East,Personal Care,0,7,0,1,0.212,858.44,5885,0.914,1105,23.2,14.22,80,898.3,242.98
2024-07-08,9,North,Snacks,0,7,0,0,0.154,636.69,5244,1.063,897,26.4,13.22,107,1201.16,459.43
2023-05-23,3,West,Beverages,1,5,0,1,0.191,729.77,4663,0.958,1175,15.7,16.17,116,1517.23,488.67
2023-09-23,8,East,Snacks,5,9,0,0,0.152,210.94,2586,0.959,1342,14.4,12.25,65,672.56,184.62
2023-12-07,6,North,Beverages,3,12,0,1,0.219,681.64,5654,0.85,1245,21.8,12.21,143,1361.64,577.27
2023-12-30,17,North,Snacks,5,12,0,1,0.203,731.1,5825,1.001,1188,20.1,14.01,112,1246.66,384.76
2023-02-01,18,East,Beverages,2,2,0,1,0.208,516.86,2560,0.973,1250,9.4,13.32,121,1280.06,401.76
2024-02-03,1,South,Beverages,5,2,0,0,0.147,392.38,5491,0.988,888,16.9,12.74,89,971.67,266.85
2023-04-23,13,West,Snacks,6,4,0,0,0.102,224.5,3649,0.974,1258,18.3,13.31,140,1667.05,555.0
