customer_id,signup_date,account_age_months,plan,industry,region,seats,active_users_ratio,monthly_logins,feature_usage_score,support_tickets,avg_response_time_hours,billing_delay_days,mrr_usd,nps,churn
CUST-00001,2022-11-23,40,Business,Healthcare,NA,91,0.821,94,56.9,5,10.1,1,451.71,56,0
CUST-00002,2024-01-11,27,Business,Services,EU,83,0.772,53,69.0,1,4.0,1,452.38,73,0
CUST-00003,2023-05-03,35,Pro,Manufacturing,APAC,13,0.79,45,71.7,0,7.7,2,137.58,50,0
CUST-00004,2023-01-24,38,Starter,Manufacturing,NA,8,0.903,57,38.0,6,15.1,3,47.72,38,0
CUST-00005,2021-12-19,52,Business,Services,LATAM,51,0.936,95,79.7,3,5.8,1,395.82,69,0
CUST-00006,2024-04-07,24,Pro,Retail,APAC,9,0.915,74,50.4,4,14.0,0,132.27,45,0
CUST-00007,2022-01-29,50,Pro,Education,EU,14,0.811,39,71.0,5,9.3,2,159.98,24,0
CUST-00008,2021-11-30,52,Pro,Healthcare,LATAM,30,1.0,60,61.1,2,5.8,1,159.16,54,0
CUST-00009,2023-05-19,34,Starter,Education,LATAM,4,0.65,39,49.4,4,11.1,3,54.67,46,0
CUST-00010,2024-04-11,24,Business,Healthcare,NA,70,0.538,66,79.2,2,9.1,0,569.06,83,0
CUST-00011,2023-10-26,29,Starter,Healthcare,EU,3,0.67,66,68.5,4,9.7,1,60.27,35,0
CUST-00012,2021-08-05,56,Pro,Services,EU,30,0.789,70,45.9,3,7.9,0,118.87,56,0
CUST-00013,2023-09-06,31,Starter,Retail,LATAM,1,0.905,65,66.8,4,12.8,3,38.93,94,0
CUST-00014,2022-03-01,49,Starter,Services,LATAM,3,0.633,49,73.4,3,7.2,0,42.4,32,0
CUST-00015,2021-09-24,55,Starter,Healthcare,EU,1,0.784,57,64.7,3,8.6,3,48.93,68,0
CUST-00016,2024-01-28,26,Starter,Retail,LATAM,5,0.488,58,60.0,3,13.0,4,45.39,35,0
CUST-00017,2024-02-14,25,Enterprise,Manufacturing,NA,210,0.942,91,87.4,1,3.3,3,1893.18,74,0
CUST-00018,2022-03-21,49,Business,Retail,NA,26,0.79,59,77.4,2,6.6,4,424.43,100,0
CUST-00019,2021-02-01,62,Starter,Services,LATAM,6,0.668,74,53.2,4,12.5,3,60.66,64,0
CUST-00020,2021-09-09,55,Starter,Services,EU,4,1.0,68,80.8,3,10.1,7,55.42,66,0
CUST-00021,2022-10-12,42,Business,Healthcare,LATAM,45,0.94,88,74.4,3,11.0,1,523.01,44,1
CUST-00022,2021-03-13,61,Starter,Education,EU,10,0.554,54,93.0,3,5.5,3,48.36,46,0
CUST-00023,2021-09-30,54,Pro,Education,EU,7,0.764,75,71.9,3,9.6,1,132.42,46,0
CUST-00024,2021-06-28,57,Starter,Manufacturing,NA,3,1.0,69,82.5,3,8.1,2,64.07,37,0
CUST-00025,2024-02-17,25,Pro,Education,APAC,20,1.0,57,89.4,1,12.3,0,121.65,31,0
CUST-00026,2022-03-03,49,Enterprise,Healthcare,LATAM,122,0.918,68,68.2,5,13.0,1,2410.73,40,0
CUST-00027,2022-04-02,48,Starter,Education,APAC,6,0.433,62,57.7,1,6.5,3,51.07,51,0
CUST-00028,2022-05-21,47,Enterprise,Retail,LATAM,251,0.98,64,89.3,2,8.4,2,1669.2,86,0
CUST-00029,2021-01-16,63,Business,Services,APAC,78,0.685,46,83.1,1,6.7,1,524.74,46,0
CUST-00030,2022-10-13,42,Enterprise,Education,LATAM,325,0.979,63,100.0,1,8.3,1,2527.18,72,0
CUST-00031,2023-12-31,27,Business,Education,NA,22,0.672,71,86.8,1,4.5,1,379.9,29,0
CUST-00032,2023-09-04,31,Business,Manufacturing,LATAM,67,0.853,75,92.5,1,10.0,2,487.53,50,0
CUST-00033,2021-10-28,53,Pro,Healthcare,NA,8,0.684,50,81.8,3,5.5,0,136.66,9,0
CUST-00034,2021-01-17,63,Business,Education,LATAM,37,0.726,88,66.9,1,7.1,1,390.67,100,0
CUST-00035,2023-07-18,32,Starter,Services,LATAM,6,0.803,31,50.7,5,8.9,5,45.86,55,0
CUST-00036,2023-10-07,30,Business,Healthcare,LATAM,40,0.582,69,52.9,3,8.9,1,519.66,53,0
